Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7z8k59NKAcnwK6OOHt3i3k,"How Beautiful This Life Is","How Beautiful This Life Is","Berre",2025-09-29,194946,55,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.544,0.581,0,-8.147,1,0.04,0.152,0,0.126,0.481,104.272,4
spotify:track:4bx1kaKVgDK6aONBlWawmr,"WIE?","WIE?","Aaron Blommaert",2025-09-25,166840,52,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.659,0.664,5,-7.923,0,0.0423,0.0121,0,0.138,0.835,107.963,4
spotify:track:6eDKyG6jvCXaTyTdFOh9wA,"QUE CE SOIT CLAIR","QUE CE SOIT CLAIR","Paul Kalkbrenner;Stromae",2025-08-29,176010,72,false,,2025-12-18T11:24:13Z,"minimal techno,techno,electro,french pop","Columbia/B1 Recordings",0.741,0.829,5,-8.554,0,0.0531,0.0441,0.0697,0.253,0.824,130.018,4
spotify:track:6w8AaUrGXjyP59VXdvGmui,"Teen Rebel","Dawn of the Freak","The Haunted Youth",2022-11-04,257413,52,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.563,0.691,2,-7.932,1,0.0326,0.0196,0.876,0.0633,0.135,130.02,4
spotify:track:61Xa5pBWdJm5b98IQG6kFp,"Comic Trip","Comic Trip","Sylvie Kreusch",2024-11-08,212968,34,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.489,0.894,9,-5.925,1,0.044,0.459,0.0128,0.194,0.725,160.142,4
spotify:track:6556dVFzfiI5MK1lb2PH5t,"Strawberry","Strawberry","Equal Idiots",2024-08-29,253946,24,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.527,0.594,6,-7.291,0,0.0333,0.243,0.00122,0.196,0.297,100.023,4
spotify:track:10pLmMEidgvRhd6MEqxb2r,"Wrong - Re-imagined","Wrong (Re-imagined)","Novastar",2023-10-05,210931,26,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.31,0.838,2,-6.119,1,0.0366,0.0255,0.357,0.0985,0.222,89.55,4
spotify:track:3PYwKA8TrIprTQduaG0x1G,"All Gold","Somehow","SONS",2025-09-22,187200,16,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.255,0.953,2,-2.854,1,0.0565,0.0000137,0.000232,0.284,0.485,88.311,4
spotify:track:2Z8fMSm0LojIUwDeQqykKR,"In My Head","In My Head","The Haunted Youth",2024-11-20,350160,45,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.409,0.701,9,-8.376,1,0.0388,0.163,0.0304,0.0975,0.0394,170.011,4
spotify:track:60A89nvhQlFnmfoQ692FLY,"Some Girls","Some Girls","Alice Mae",2025-05-23,157910,29,false,,2025-12-18T11:24:13Z,"","alice mae",0.5,0.809,9,-7.227,1,0.0345,0.000722,0,0.265,0.661,161.972,4
spotify:track:3CwHonJzs4dZuASYwTjEYf,"No Surprise","No Surprise","Warhaus",2024-10-03,224114,51,false,,2025-12-18T11:24:13Z,"","Play It Again Sam",0.806,0.461,6,-8.564,0,0.0355,0.191,0.703,0.24,0.548,124.996,4
spotify:track:74kAlb3OrVl15ZKgfWdxhy,"Pinnacles","Dressed Like Boys","Dressed Like Boys",2025-08-29,222756,42,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.59,0.457,6,-9.127,1,0.0294,0.56,0.000183,0.134,0.267,148.076,4
spotify:track:5JsQuKh8IxsRPxXt2bWjDP,"The Signal","The Signal","Compact Disk Dummies",2024-04-12,231266,23,false,,2025-12-18T11:24:13Z,"","541",0.747,0.8,5,-6.692,0,0.0394,0.0194,0.00196,0.167,0.619,118.989,4
spotify:track:6FpGarU82UbiZXyI7Dyh6M,"Run Free","All Systems Are Lying / Run Free","Soulwax",2025-07-09,280040,40,false,,2025-12-18T11:24:13Z,"electroclash,new rave,alternative dance","Soulwax",0.635,0.884,6,-5.577,0,0.0369,0.0248,0.343,0.178,0.255,108.019,4
spotify:track:4o4is1YPSaboVAeDi6t5hn,"Isabella","Isabella","Camille",2025-11-21,210418,49,false,,2025-12-18T11:24:13Z,"","Mostiko",0.724,0.726,5,-5.35,1,0.0311,0.0222,0,0.168,0.47,126.002,4
spotify:track:2KejCKgm7l3uefW9cFt8cH,"Nightcall","Nightcall","Kavinsky;Angèle;Phoenix",2024-09-20,179306,66,false,,2025-12-18T11:24:13Z,"synthwave,french house,french pop,variété française,french indie pop,chanson,indie","Universal Music Division Virgin Music Distribution Deal",0.567,0.785,9,-5.512,0,0.0256,0.000175,0.00353,0.396,0.312,97.017,4
spotify:track:0rNbnftds39PJOL8HzdLho,"Vlammen","Heimwee","Eefje de Visser",2024-09-13,231718,41,false,,2025-12-18T11:24:13Z,"nederpop","Sony Music Entertainment",0.534,0.526,1,-10.124,0,0.0398,0.567,0.552,0.104,0.435,159.89,4
spotify:track:2WCbUIIPHbX6t9M0UH0p4S,"Lies","Dressed Like Boys","Dressed Like Boys",2025-08-29,227408,42,false,,2025-12-18T11:24:13Z,"","Mayway Records",0.511,0.552,10,-8.869,1,0.0391,0.0593,0.138,0.127,0.259,184.981,4
spotify:track:7sswPponP7QFEhJK4HoZmQ,"Get U What U Want","Get U What U Want","GLINTSAL;FAISAL;Glints",2024-09-13,209493,28,true,,2025-12-18T11:24:13Z,"","Top Notch Music BV",0.837,0.847,8,-4.184,0,0.132,0.115,0,0.37,0.647,107.02,4
spotify:track:005k50cKNdWjOitdP6Y6jz,"Angel Face","Angel Face","Oscar and the Wolf",2024-02-02,212092,44,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.509,0.67,9,-7.09,1,0.0401,0.00649,0,0.0613,0.276,93.926,4
spotify:track:0pO2YRwTBZ2xAAdZgMV3KC,"Alles loopt anders","Droomvoeding","Brihang",2023-10-06,183693,37,false,,2025-12-18T11:24:13Z,"","Fake Records",0.629,0.459,7,-11.513,0,0.376,0.771,0.00000313,0.14,0.404,143.394,4
spotify:track:0LyaUqgQRoZWKqePxqjyNL,"Nog Maar Begonnen","Het Langste Jaar","Het Zesde Metaal",2024-01-19,251133,26,false,,2025-12-18T11:24:13Z,"nederpop","Unday Records",0.51,0.549,11,-7.131,0,0.0255,0.0114,0.00639,0.0923,0.434,92.431,4
spotify:track:1a4pfzcCNFJXYHNQSQUdi7,"Fire!","Fire!","blackwave.;Compact Disk Dummies",2024-10-04,176975,22,false,,2025-12-18T11:24:13Z,"jazz rap","Studio 87 / black.wav",0.6,0.825,1,-7.194,0,0.0408,0.235,0,0.511,0.56,119.977,4
spotify:track:1Z7yt7qO6v9WzVRfsyMxBW,"Solàr","Solàr (feat. K1D)","Compact Disk Dummies",2025-06-13,234200,19,false,,2025-12-18T11:24:13Z,"","541",0.666,0.527,11,-7.795,0,0.0488,0.0512,0,0.842,0.365,122.068,4
spotify:track:6v00zlqM60HsbYcQTwepEX,"I Follow Rivers - Bonus Track - Live @ Giel Vara/3fm","Faders up 2 - Live in Amsterdam","Triggerfinger",2012-05-18,213551,49,false,,2025-12-18T11:24:13Z,"","Excelsior Recordings",0.674,0.407,7,-9.039,0,0.0556,0.149,0.0000151,0.0261,0.683,109.997,4
spotify:track:5JKaqtnEhwIbbHPC2GrVKD,"(Not A) Housewife","(Not A) Housewife","Glints;Daan",2024-07-19,208862,38,false,,2025-12-18T11:24:13Z,"","Glints",0.579,0.846,10,-5.624,0,0.0475,0.0568,0.00000491,0.261,0.35,130.993,4
spotify:track:48oDk3NjbAjwrBL7vrbgyl,"Somebody Without U","Somebody Without U","Oscar and the Wolf",2024-05-31,203573,35,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.501,0.804,9,-5.658,1,0.0678,0.00182,0.0000179,0.0614,0.311,160.019,4
spotify:track:6HEWgg6dWX226zCg5D3442,"Sanctuary","Sanctuary","Tamino;Mitski",2025-01-23,211061,38,false,,2025-12-18T11:24:13Z,"","Communion Music",0.362,0.504,7,-7.522,1,0.0301,0.681,0.216,0.103,0.115,160.713,3
spotify:track:3nrnuhplQHnXmouoT5NJGU,"Waarom ben ik zo destructief?","Waarom ben ik zo destructief?","Yong Yello",2025-09-08,239576,30,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.57,0.813,10,-6.123,0,0.188,0.0415,0.00000366,0.256,0.605,95.209,4
spotify:track:4Xrks1QWcXt0PXXDV45Ava,"Stars","Stars","Triggerfinger",2025-09-25,197259,35,false,,2025-12-18T11:24:13Z,"","Hufter",0.587,0.859,7,-5.417,1,0.0393,0.000283,0.0249,0.393,0.615,129.945,4
spotify:track:4MSj19TwYBLgDFj3ddEeco,"Black Friday (pretty like the sun)","Black Friday (pretty like the sun)","Lost Frequencies;Tom Odell",2024-07-19,145599,82,false,,2025-12-18T11:24:13Z,"tropical house","UROK",0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
spotify:track:1N1etkD3OBCgmdiNfilEAm,"THEN I FOUND YOU","ABOUT DAMN TIME!","Jean Valery",2025-02-14,166982,17,false,,2025-12-18T11:24:13Z,"","V for Valery",0.584,0.738,9,-6.086,0,0.0387,0.00214,0.0446,0.13,0.72,157.938,4
spotify:track:11Rog2AXemiY23BE8U5syG,"lavender salt","333","Emma Bale",2024-11-22,241719,48,false,,2025-12-18T11:24:13Z,"tropical house","Warner Music Benelux",0.681,0.222,6,-12.205,1,0.18,0.849,0.00338,0.16,0.506,159.977,3
spotify:track:6rpNv2vLGet7q5p0Ct0imO,"TELL THE KIDS IT'S ALRIGHT","TELL THE KIDS IT'S ALRIGHT","Mustii",2024-09-12,194917,22,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.538,0.818,0,-5.243,1,0.0871,0.00973,0,0.0776,0.729,173.919,4
spotify:track:1EBcpaAyOMGpeaA6v9ttUm,"Ik moet dringend op vakantie","Ik moet dringend op vakantie","Yong Yello",2025-03-12,237031,31,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.724,0.751,6,-6.942,0,0.161,0.486,0.000715,0.0462,0.586,98.989,4
spotify:track:7c4obzPhEMjm5bmV8OR6F2,"Never Going Home","Never Going Home","BLUAI",2024-08-16,193386,14,false,,2025-12-18T11:24:13Z,"","Lipstick Notes Records",0.428,0.232,7,-12.904,1,0.0332,0.944,0.00173,0.343,0.17,115.035,4
spotify:track:3dM16edUVofGFGO0Zwb11i,"Onomkeerbaar","Onomkeerbaar","Eefje de Visser",2025-05-23,237318,35,false,,2025-12-18T11:24:13Z,"nederpop","Sony Music Entertainment",0.754,0.491,9,-7.769,0,0.0287,0.693,0.000912,0.143,0.482,119.885,4
spotify:track:2ETvqF6fCwAcGjI7OEZlRh,"Brotherhood","Brotherhood","Isaac Roux",2024-10-15,236394,43,false,,2025-12-18T11:24:13Z,"indie folk","Mayway Records",0.583,0.403,11,-9.942,1,0.0288,0.615,0.0187,0.115,0.141,116.008,4
spotify:track:6TGqiVkIFInqni8K1ul1d2,"LOIN D'ICI - from “PUTAIN”","PUTAIN (Music from the Original Series)","Zwangere Guy",2024-11-22,203213,47,true,,2025-12-18T11:24:13Z,"","Universal Music Distributed Labels (DDO)",0.686,0.65,5,-10.001,0,0.0459,0.718,0.00441,0.159,0.421,133.429,4
spotify:track:4ZndmMvPcQjRHG1bWwvNk1,"Neem Me Mee","Neem Me Mee","XINK",2024-10-11,179556,16,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.497,0.736,6,-7.076,1,0.0313,0.0239,0,0.0764,0.658,145.856,4
spotify:track:0D57lQnn110jGaup4NguSI,"Sweet Disposition (a moment, a love)","Sweet Disposition (a moment, a love)","Lost Frequencies;The Temper Trap",2025-05-30,212209,74,false,,2025-12-18T11:24:13Z,"tropical house","Epic Amsterdam",0.644,0.87,2,-6.713,1,0.0721,0.0692,0.762,0.1,0.195,129.061,4
spotify:track:6uvpm7PeRAuUE6sQp8bCHj,"Wat niemand kan","Wat niemand kan","Yevgueni",2025-01-03,250780,24,false,,2025-12-18T11:24:13Z,"nederpop","Sardonis",0.596,0.749,4,-8.448,1,0.0306,0.157,0.000608,0.229,0.497,136.004,4
spotify:track:0Y3TWaVN9Gm72fbLfow3P6,"Don't Stop Believin'","Don't Stop Believin'","Portland",2024-09-30,216484,34,false,,2025-12-18T11:24:13Z,"","VRT Muziek",0.53,0.29,9,-11.759,1,0.0321,0.723,0.0000208,0.0925,0.0946,111.907,4
spotify:track:1AvAl5fj5mhoLHVo0to1xr,"Mia","Gorky","Gorki",1992-01-01,332200,52,false,,2025-12-18T11:24:13Z,"nederpop","Warner Music Benelux",0.697,0.298,0,-16.929,1,0.0319,0.0411,0.000123,0.103,0.233,113.571,4
spotify:track:3Mcxi78U3lCjt8DMKa6YY4,"Santé","Multitude","Stromae",2022-03-03,191000,64,false,,2025-12-18T11:24:13Z,"french pop","Universal Music Division Carthage Music",0.795,0.67,0,-6.415,1,0.332,0.135,0.0000251,0.0414,0.844,137.92,3
spotify:track:3Q9ljh3xWnWJpzGYDY0qfP,"Begin Opnieuw","Begin Opnieuw","Bazart",2025-09-04,186163,56,false,,2025-12-18T11:24:13Z,"nederpop","Bazart",0.736,0.827,10,-7.294,1,0.0311,0.174,0.0147,0.327,0.451,130.98,4
spotify:track:5iq8DndLIqUnZJbfteoOTu,"On My Mind","On My Mind","Puggy",2025-05-09,162642,30,false,,2025-12-18T11:24:13Z,"","Radio Kitchen",0.734,0.76,10,-5.621,0,0.219,0.155,0.0000145,0.0979,0.589,104.019,4
spotify:track:5bgxb4sVablYvN6BFCHUnJ,"Grenadine","Grenadine","Jokke",2025-07-04,152625,24,false,,2025-12-18T11:24:13Z,"","Warner Music Benelux",0.67,0.638,10,-7.912,1,0.0422,0.477,0.00138,0.19,0.461,89.951,4
spotify:track:1odfGHH2DSpVoQDfnDKbPO,"Spill My Liquor","TASTE","Oscar and the Wolf",2024-10-25,189946,39,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.571,0.914,9,-7.17,0,0.0368,0.00326,0.00956,0.136,0.128,127.007,4
